sample_id,content,gold_label,agg_human_label,agg_human_confidence,machine_0_pred,machine_0_confidence,confidence_diff
87,I loved it !,1.0,1.0,0.9409409409409408,-1.0,0.3333333333333333,2.274274274274274
14,"A stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in Australia 's film history .",1.0,1.0,0.8298298298298298,-1.0,0.3333333333333333,2.163163163163163
31,Skip work to see it at the first opportunity .,1.0,1.0,0.8158158158158159,-1.0,0.3333333333333333,2.149149149149149
79,A very bad sign .,-1.0,-1.0,0.6696696696696697,1.0,0.3333333333333333,2.0030030030030033
19,"Compelling as it is exotic , Fast Runner has a plot that rivals Shakespeare for intrigue , treachery and murder .",1.0,1.0,0.6546546546546547,-1.0,0.3333333333333333,1.9879879879879878
18,Both deeply weird and charmingly dear .,1.0,1.0,0.6346346346346347,-1.0,0.3333333333333333,1.9679679679679678
62,"Opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .",-1.0,-1.0,0.6106106106106106,1.0,0.3333333333333333,1.9439439439439439
50,Creepy but ultimately unsatisfying thriller .,-1.0,-1.0,0.6066066066066066,1.0,0.3333333333333333,1.9399399399399397
23,"Even when foreign directors ... borrow stuff from Hollywood , they invariably shake up the formula and make it more interesting .",1.0,1.0,0.6056056056056056,-1.0,0.3333333333333333,1.9389389389389389
43,"A frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",-1.0,-1.0,0.6046046046046046,1.0,0.3333333333333333,1.937937937937938
42,has a plot full of twists upon knots ... and a nonstop parade of mock-Tarantino scuzbag types that starts out clever but veers into overkill .,-1.0,-1.0,0.5765765765765766,1.0,0.3333333333333333,1.9099099099099097
66,"The Irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .",-1.0,-1.0,0.5645645645645646,1.0,0.3333333333333333,1.897897897897898
13,A refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary American film .,1.0,1.0,0.5485485485485485,-1.0,0.3333333333333333,1.8818818818818817
