pred,gold_label,word,sentence_1,sentence_2
T,T,clip,Give him a clip round the ear !,he gave me a clip on the ear
T,F,blow,blow on the soup to cool it down,"There she blows ! ( i.e. "" I see a whale spouting ! "" )"
F,F,hand,he wanted to try his hand at singing,give the little lady a great big hand
F,F,spot,an eight - spot,they changed his spot on the program
T,T,smear,smear the wall with paint,She smeared her lips with lipstick .
F,F,music,he fell asleep to the music of the wind chimes,you have to face the music
F,F,inundate,The Dutch would sometimes inundate the land to hinder the Spanish army .,the basement was inundated after the storm
T,T,array,an array of troops in battle order,Drawn up in battle array
F,F,tack,tack the notice on the board,He tacked together some verses
T,T,sell,"I 'll sell you all three for a hundred dollars .    Sorry , I 'm not prepared to sell .",He sold his house in January
T,T,hair,he combed his hair,"In the western world , women usually have long hair while men usually have short hair ."
T,F,process,process hair,process cheese
T,F,fire,Do n't fire until you see the whites of their eyes .,The gun fired
T,T,sister,My sister is always driving me crazy .,my sister married a musician
T,F,stir,stir the soup,stir the soil
T,T,victory,clinched a victory,the general always gets credit for his army 's victory
F,F,line,To line a copy book,trees line the riverbank
F,F,rerun,We have to rerun the subjects -- they misunderstood the instructions,Bush wants to rerun in 1996
F,F,character,the radical character of our demands,a real character
T,T,humour,"The sensitive subject was treated with humour , but in such way that no one was offended .","She has a great sense of humour , and I always laugh a lot whenever we get together ."
F,F,bench,Injuries have shortened the bench .,"She placed the workpiece on the bench , inspected it closely , and opened the cover ."
T,T,stalk,stalk the woods for deer,I stalked the woods for game .
F,F,setter,She has a spaniel and a red setter .,Some crossword setters work for various newspapers under different pseudonyms .
F,F,communication,"The node had established communication with the network , but had as yet sent no data .",a secret passageway provided communication between the two rooms
F,F,bend,Copper rods bend easily .,The road bends to the right
T,T,bed,the room had only a bed and chair,he sat on the edge of the bed
F,F,rule,rule one 's temper,rule the margins
F,F,outburst,The man let out an outburst of invective,an outburst of heavy rain
T,T,drink,You can lead a horse to water but you ca n't make him drink .,Cynthia drank the wine .
F,F,ligate,ligate the artery,The enzyme ligated
F,F,feel,I can feel the sadness in his poems .,The runner felt her pulse
F,F,turnout,a large turnout for the meeting,the turnout for the rally
F,F,face,an angry face,when he returned to work he met many new faces
F,F,organization,"This painting shows little organization at first glance , but little by little the structure becomes clear .",his organization of the work force was very efficient
F,T,pleasure,the pleasure of his company,he was tingling with pleasure
T,T,eligibility,eligibility for a loan,eligibility of a candidate for office
F,F,roundness,"he gave us the results in round numbers , but their roundness did n't affect the point he was making",there is a musky roundness to his wordiness
F,F,parity,parity is often used to check the integrity of transmitted data,the parity of the mother must be considered
T,T,toke,"The artist took a thoughtful toke off the joint , then passed it along .",the boys took a few tokes on a joint
T,T,absorption,"The absorption of light , heat , electricity , etc .",the absorption of photons by atoms or molecules
F,F,marshal,marshal the troops,marshal facts or arguments
F,F,nose,She has a cold in the nose .,keep your nose out of it
T,T,flagship,it is their flagship newspaper,The retail company 's store in London is their flagship .
T,T,mold,a lobster mold,a gelatin dessert made in a mold
T,F,purse,he and his wife shared a common purse,he made the contribution out of his own purse
T,T,seating,There is plenty of comfortable seating .,there is seating for 40 students in this classroom
F,F,park,there are laws that protect the wildlife in this park,the put the car in park and got out
T,F,repair,"To repair a house , a road , a shoe , or a ship",To repair a shattered fortune
T,T,slick,Careful in turn three — there 's an oil slick on the road .,"The oil slick has now spread to cover the entire bay , critically endangering the sea life ."
T,T,tune,To tune a piano or a violin,My piano needs to be tuned
T,T,segregate,We do n't segregate in this county,This neighborhood is segregated
F,F,bank,he sat on the bank of the river and watched the currents,that bank holds the mortgage on my home
T,F,elaborate,elaborate a plan,Could you elaborate on the plot for your novel for me ?
T,T,girlfriend,his girlfriend kicked him out,Marc went to the park with his girlfriend and watched the sunset with her .
F,F,hand,Give me your hand .,hand the elderly lady into the taxi
F,F,round,we enjoyed our round of the local bars,Hospital rounds
F,T,divaricate,divaricate one 's fingers,The road divaricates here
T,T,marmalade,Thick cut marmalade,Lime marmalade
T,T,pump,pump the gas pedal,I 've pumped over 1000 gallons of water in the last ten minutes .
T,T,part,The first violin part in this concerto is very challenging .,he tried to sing the tenor part
T,F,line,that salesman must have practiced his fast line of talk,` let me show you my etchings ' is a rather worn line
T,T,yesterday,yesterday 's solutions are not good enough,Yesterday 's technology
F,F,pickup,his car has a lot of pickup,put out a pickup on that man
T,F,work,work equals force times distance,Work is done against friction to drag a bag along the ground .
F,T,sell,The French try to sell us their image as great lovers,The new idea sold well in certain circles
F,F,fantasy,a schoolgirl fantasy,she made a lot of money writing romantic fantasies
F,F,zap,zap the enemy,"If it 's not warm in the middle , zap it some more ."
F,T,moderate,moderate your alcohol intake,moderate your speed
F,F,mold,mold public opinion,The furniture molded in the old house
F,F,vegetation,Pleistocene vegetation,their holiday was spent in sleep and vegetation
F,F,harness,harness natural forces and resources,harness the horse
F,F,erupt,erupt in anger,Unrest erupted in the country
F,F,flare,the skirt had a wide flare,she could not control her flare of rage
T,F,definition,The definition of a telescope .,exercise had given his muscles superior definition
F,F,capacity,the capacity of a hard disk drive is usually expressed in megabytes,the plant is working at 80 per cent capacity
T,T,center,Convention center,they received messages from several centers
F,F,program,working mothers rely on the day care program,you ca n't tell the players without a program
F,F,baseline,The ref missed the call . The ball hit the baseline .,the established a baseline for the budget
T,T,pride,"I pride myself on being a good judge of character , but pride goes before the fall and I 'm not a good judge of my own character so I 'm often wrong without knowing it .",He prides himself on making it into law school
T,F,effect,the magnetic effect was greater when the rod was lengthwise,The effect of the hurricane was a devastated landscape .
T,T,celebrate,celebrate Christmas,To celebrate a birthday
T,T,hedge,To hedge a field or garden,hedge the property
F,F,grab,This story will grab you,Grab power
F,F,blood,the ancients believed that blood was the seat of the emotions,blood carries oxygen and nutrients to the tissues and carries away waste products
F,F,interest,He has a lot of interest in vintage cars .,how much interest do you pay on your mortgage ?
F,T,concord,Both philosophers concord on this point,Their ideas concorded
F,F,mound,they have a southpaw on the mound,they built small mounds to hide behind
T,T,suspect,I suspect him of being the thief .,The U.S. suspected Bin Laden as the mastermind behind the terrorist attacks
F,F,agony,an agony of doubt,Being in an agony he prayed more earnestly . —Luke xxii . 44 .
T,T,devour,She intended to devour the book .,She devoured his novels
T,T,comply,You must comply or else !,He complied with my instructions
F,F,baste,baste a roast,baste a hem
F,F,stun,stun fish,The news stunned her
F,F,correction,market runups are invariably followed by a correction,the correction of his vision with eye glasses
T,T,restore,restore the emperor to the throne,To restore harmony among those who are at variance
T,T,scare,a bomb scare led them to evacuate the building,a war scare
T,F,feeling,I had a strange feeling in my leg,he had a queasy feeling
T,T,inspire,The lung cancer patient can not inspire air very well,The patient has trouble inspiring
T,F,start,To start a stream of water ;   to start a rumour ;   to start a business,We simply could not start the engine
F,F,account,Passing grades account for half of the grades given in this exam,I ca n't account for the missing money
