sample_id,content,gold_label,agg_human_label,agg_human_confidence,machine_1_pred,machine_1_confidence,confidence_diff
70,"The stupidest , most insulting movie of 2002 's first quarter .",-1.0,-1.0,0.937937937937938,-1.0,0.451969957859844,0.485967980078094
87,I loved it !,1.0,1.0,0.9409409409409408,1.0,0.5626266990799683,0.3783142418609725
83,But hard-to-believe plot twists force the movie off track in its final half hour .,-1.0,-1.0,0.7317317317317318,-1.0,0.3586826574131638,0.373049074318568
1,"A thoughtful , provocative , insistently humanizing film .",1.0,1.0,0.7187187187187187,1.0,0.3941670370998816,0.32455168161883713
15,"An endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",1.0,1.0,0.8238238238238238,1.0,0.499670329844002,0.3241534939798218
25,"From the big giant titles of the opening credits to Elmer Bernstein 's perfectly melodic score , Haynes gets just about everything right .",1.0,1.0,0.7297297297297297,1.0,0.5005382335496344,0.22919149618009527
26,"Greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",1.0,1.0,0.6456456456456456,1.0,0.4268444615809477,0.21880118406469795
51,"Helmer DeVito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' TV and revenge .",-1.0,-1.0,0.5815815815815816,-1.0,0.3805752738357334,0.20100630774584816
3,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1.0,1.0,0.3073073073073073,1.0,0.5035726500582683,0.19626534275096102
64,"Plays as hollow catharsis , with lots of tears but very little in the way of insights .",-1.0,-1.0,0.5835835835835835,-1.0,0.408406346238673,0.17517723734491053
17,An incredibly clever and superbly paced caper filled with scams within scams within scams .,1.0,1.0,0.5815815815815816,1.0,0.406753228542559,0.17482835303902255
43,"A frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",-1.0,-1.0,0.6046046046046046,-1.0,0.445714101350299,0.15889050325430565
34,"The 3D images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",1.0,1.0,0.4034034034034034,1.0,0.5554474701200477,0.15204406671664428
5,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1.0,1.0,0.5815815815815816,1.0,0.4368089361740678,0.14477264540751378
86,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,1.0,1.0,0.3413413413413413,1.0,0.4849278502290652,0.1435865088877239
10,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",1.0,1.0,0.3293293293293293,1.0,0.4458844452760354,0.11655511594670609
44,"After seeing SWEPT AWAY , I feel sorry for Madonna .",-1.0,-1.0,0.4234234234234234,-1.0,0.5225299893397374,0.099106565916314
48,Audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,-1.0,-1.0,0.5425425425425425,-1.0,0.4544147025963684,0.08812783994617412
29,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .",1.0,1.0,0.6826826826826827,1.0,0.6002374856769539,0.08244519700572883
27,"Its direction , its script , and Weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",1.0,1.0,0.4094094094094094,1.0,0.4892199471721183,0.07981053776270891
23,"Even when foreign directors ... borrow stuff from Hollywood , they invariably shake up the formula and make it more interesting .",1.0,1.0,0.6056056056056056,1.0,0.5348536710785416,0.07075193452706396
7,"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",1.0,1.0,0.4014014014014014,1.0,0.4704849436882337,0.06908354228683228
35,"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",1.0,1.0,0.5365365365365365,1.0,0.4811086471595268,0.055427889377009765
75,This time Kaufman 's imagination has failed him .,-1.0,-1.0,0.5345345345345346,-1.0,0.4791375027565984,0.0553970317779362
6,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1.0,1.0,0.4364364364364364,1.0,0.4890898254340268,0.05265338899759037
60,"Meandering , sub-aquatic mess : It 's so bad it 's good , but only if you slide in on a freebie .",-1.0,-1.0,0.4194194194194194,-1.0,0.4632762709355071,0.0438568515160877
80,"As adapted by Kevin Molony from Simon Leys ' novel `` The Death of Napoleon '' and directed by Alan Taylor , Napoleon 's journey is interesting but his Parisian rebirth is stillborn",-1.0,-1.0,0.4904904904904905,-1.0,0.4656642859726014,0.024826204517889083
91,"Not ` terrible filmmaking ' bad , but more like , ' I once had a nightmare like this , and it 's now coming true ' bad .",-1.0,-1.0,0.5835835835835835,-1.0,0.5598518097110543,0.023731773872529227
20,"Dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",1.0,1.0,0.4934934934934935,1.0,0.5072837254659701,0.013790231972476641
49,"Credit must be given to Harland Williams , Michael Rosenbaum and Barry Watson , who inject far more good-natured spirit and talent into this project than it deserves",1.0,1.0,0.4384384384384384,1.0,0.4297214038728735,0.008717034565564885
