sample_id,content,gold_label,agg_human_label,agg_human_confidence,machine_5_pred,machine_5_confidence,confidence_diff
90,No question .,0.0,0.0,0.8868868868868869,0.0,0.38,0.5068868868868869
57,All this turns out to be neither funny nor provocative - only dull .,-1.0,-1.0,0.4444444444444444,-1.0,0.91,0.4655555555555556
38,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,1.0,1.0,0.4214214214214214,1.0,0.84,0.41857857857857855
6,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1.0,1.0,0.4364364364364364,1.0,0.85,0.41356356356356355
9,An unabashedly schmaltzy and thoroughly enjoyable true story .,1.0,1.0,0.4874874874874875,1.0,0.9,0.41251251251251253
31,Skip work to see it at the first opportunity .,1.0,1.0,0.8158158158158159,1.0,0.46,0.35581581581581584
36,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",1.0,1.0,0.4024024024024024,1.0,0.74,0.3375975975975976
46,An Afterschool Special without the courage of its convictions .,-1.0,-1.0,0.4874874874874875,-1.0,0.82,0.33251251251251246
5,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1.0,1.0,0.5815815815815816,1.0,0.91,0.32841841841841846
13,A refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary American film .,1.0,1.0,0.5485485485485485,1.0,0.87,0.3214514514514515
21,"Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",1.0,1.0,0.6086086086086087,1.0,0.93,0.3213913913913914
39,Vividly conveys both the pitfalls and the pleasures of over-the-top love .,1.0,1.0,0.5095095095095095,1.0,0.83,0.3204904904904905
68,The problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,-1.0,-1.0,0.5225225225225225,-1.0,0.83,0.30747747747747745
17,An incredibly clever and superbly paced caper filled with scams within scams within scams .,1.0,1.0,0.5815815815815816,1.0,0.86,0.2784184184184184
77,"Truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",-1.0,-1.0,0.6366366366366366,-1.0,0.36,0.2766366366366366
35,"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",1.0,1.0,0.5365365365365365,1.0,0.81,0.2734634634634635
49,"Credit must be given to Harland Williams , Michael Rosenbaum and Barry Watson , who inject far more good-natured spirit and talent into this project than it deserves",1.0,1.0,0.4384384384384384,1.0,0.71,0.2715615615615616
22,Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,-1.0,-1.0,0.5185185185185185,-1.0,0.79,0.27148148148148155
76,"Trivial where it should be profound , and hyper-cliched where it should be sincere .",-1.0,-1.0,0.4214214214214214,-1.0,0.69,0.26857857857857853
75,This time Kaufman 's imagination has failed him .,-1.0,-1.0,0.5345345345345346,-1.0,0.8,0.26546546546546546
37,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,1.0,1.0,0.4664664664664664,1.0,0.73,0.2635335335335336
28,One scarcely needs the subtitles to enjoy this colorful action farce .,1.0,1.0,0.4494494494494494,1.0,0.7,0.25055055055055053
8,"A deceivingly simple film , one that grows in power in retrospect .",1.0,1.0,0.5625625625625625,1.0,0.81,0.2474374374374375
26,"Greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",1.0,1.0,0.6456456456456456,1.0,0.89,0.24435435435435438
16,An excellent romp that boasts both a heart and a mind .,1.0,1.0,0.7107107107107107,1.0,0.94,0.22928928928928927
52,I loved looking at this movie .,1.0,1.0,0.6426426426426426,1.0,0.87,0.2273573573573574
